,Good,Good,Good,Good,Moderate,Moderate,Moderate,Moderate,Unhealthy for sensitive grps,Unhealthy for sensitive grps,Unhealthy for sensitive grps,Unhealthy for sensitive grps
,mean,mean_se,mean_ci_lower,mean_ci_upper,mean,mean_se,mean_ci_lower,mean_ci_upper,mean,mean_se,mean_ci_lower,mean_ci_upper
2022-01-01,320.6775634333271,24.167412778086053,273.3103047887654,368.04482207788885,44.1128981461268,23.658861579004025,-2.2576184639395223,90.48341475619313,0.5680707791925018,2.7752108125620367,-4.8712424629352284,6.007384021320233
2023-01-01,320.4589586242179,37.11043547661891,247.72384163944736,393.1940756089885,44.26771593158336,35.861533613055734,-26.019598380378433,114.55503024354516,0.24536636902012565,3.023022312742565,-5.679648488416282,6.1703812264565325
2024-01-01,320.42282225006585,46.98869432461414,228.3266736932605,412.5189708068712,44.28925298488612,45.135854635696006,-44.1753965125133,132.75390248228553,0.4286853147556041,3.677583431714015,-6.7792457615450825,7.636616391056291
2025-01-01,320.4168487422451,55.18147499392211,212.2631451403602,428.5705523441301,44.292249053222825,52.83877920374797,-59.26985517318719,147.85435327963285,0.3245471784109029,4.004808287479995,-7.5247328300374186,8.173827186859224
2026-01-01,320.4158612940984,62.314504579753155,198.281676603326,442.55004598487085,44.292665843085025,59.557658636967126,-72.43820008890143,161.0235317750715,0.3837050106678923,4.421801617893177,-8.282866907183676,9.05027692851946
2027-01-01,320.4156980644063,68.71224421162131,185.74217411270772,455.0892220161048,44.29272382366815,65.59238189889135,-84.26598235835584,172.85143000569215,0.350099174802325,4.741057013097617,-8.942201819520047,9.642400169124699
2028-01-01,320.4156710817921,74.56323545911391,174.27441501114893,466.55692715243526,44.29273188947858,71.11691675404373,-95.0938636399803,183.67932741893745,0.3691896681678931,5.072537542135258,-9.57280122464454,10.311180560980326
2029-01-01,320.4156666214426,79.98740138178874,163.64324069618732,477.1880925466979,44.292733011531766,76.24219596202876,-105.13922517628973,193.72469119935326,0.35834491672654556,5.366129732206587,-10.15907609476793,10.875765928221021
2030-01-01,320.41566588412644,85.06640616456382,153.68857350732532,487.14275826092756,44.292733167623126,81.04399560738906,-114.5505793860818,203.13604572132806,0.36450550312798086,5.65387839966179,-10.716892533178084,11.445903539434047
2031-01-01,320.4156657622447,89.8587929179932,144.29566794873517,496.53566357575426,44.29273318933735,85.57678440021519,-123.43468214783354,212.02014852650825,0.3610058540106348,5.922561604947335,-11.247001587905881,11.969013295927152
2032-01-01,320.41566574209713,94.4082194140118,135.3789558460789,505.45237563811537,44.292733192358064,89.88127077473334,-131.8713204108118,220.45678679552793,0.36299390241162593,6.18235254596182,-11.75419442740305,12.480182232226301
2033-01-01,320.4156657387666,98.7482715023108,126.87261005865449,513.9587214188788,44.29273319277828,93.98882723160216,-139.9219831303194,228.50744951587598,0.3618645502074025,6.430139384977795,-12.24097705992161,12.964706160336414
2034-01-01,320.4156657382161,102.90544376779391,118.72470214022826,522.1066293362039,44.292733192836735,97.92423833112663,-147.6352471496881,236.2207135353616,0.36250610219403845,6.669557200378147,-12.709585803376923,13.434598007764999
2035-01-01,320.4156657381251,106.90107384631555,110.89341109068988,529.9379203855603,44.29273319284487,101.70748871690877,-155.0502816503102,243.63574803599997,0.3621416552570976,6.900216733797112,-13.162034628505848,13.886317939020044
2036-01-01,320.41566573811,110.7526470201058,103.34446638622532,537.4868650899947,44.292733192846,105.35497173589049,-162.19921700173467,250.7846833874267,0.3623486869125399,7.123662574704842,-13.599773397524823,14.324470771349903
2037-01-01,320.4156657381075,114.47470486717805,96.04936705758652,544.7819644186285,44.29273319284616,108.8803328330724,-169.1087977847097,257.694264170402,0.3622310782787153,7.340171126299473,-14.024239969629056,14.748702126186485
2038-01-01,320.4156657381071,118.07949562432641,88.98410700177246,551.8472244744418,44.29273319284618,112.29507418498369,-175.8015678509754,264.3870342366678,0.36229788830697185,7.550550385306423,-14.436508930348644,15.16110470696259
2039-01-01,320.41566573810707,121.5774507026825,82.12824102865548,558.7030904475587,44.29273319284618,115.6089983287692,-182.29673982029274,270.8822062059851,0.3622599354821623,7.755182381866188,-14.837618226515119,15.562138097479444
2040-01-01,320.41566573810707,124.97754098969575,75.46418652192506,565.3671449542891,44.29273319284618,118.83054027880092,-188.61084601703985,277.1963124027322,0.3622814953729244,7.954575365720959,-15.228399733749683,15.952962724495531
2041-01-01,320.41566573810707,128.2875480485108,68.97669189807417,571.85463957814,44.29273319284618,121.96702058885468,-194.75823446296425,283.3437008486566,0.3622692478289799,8.149078041848957,-15.609630221401163,16.33416871705912
