Year,smoke_impact_sum,average_distance_miles,fire_type_weight_mean,duration_days_sum,acres_sum,moderate_days,unhealthy_days,unhealthy_sens_days
1962-01-01,0.7997339417042597,352.14285861344536,1.0,8.0,35.20257454524206,,,
1965-01-01,0.0648856593541831,631.8372194301058,1.0,19.0,6.216554804468122,,,
1967-01-01,0.00015431953097574236,644.486329532026,1.0,1.0,0.09945682809366,,,
1968-01-01,0.15590084733232779,358.64586058075,1.0,6.0,9.318865592795136,,,
1969-01-01,0.012530987284501669,622.2386960157594,1.0,1.0,8.415612120894803,,,
1970-01-01,0.33688817148042105,643.2471979126273,1.0,7.0,30.95748175924136,,,
1971-01-01,0.250701101343397,362.9969542572155,1.0,1.0,91.00373621658264,,,
1973-01-01,0.1700744291949671,637.2801211678067,1.0,5.0,21.677010568982837,,,
1974-01-01,0.9449275788796162,447.7730524675488,1.0,22.0,50.13671481575195,27.0,0.0,5.0
1975-01-01,0.11275537699732803,476.7957519780424,1.0,9.0,14.758584206391511,16.0,0.0,4.0
1976-01-01,0.0002531967149946224,376.53389560540637,1.0,1.0,22.54872482884154,,,
1977-01-01,20.332635320332578,503.1486842061818,1.0,37.0,441.4832402992622,,,
1978-01-01,0.7893502373682634,567.6202522508689,1.0,46.0,153.09027254341507,3.0,0.0,1.0
1979-01-01,0.028842162912456854,448.4280394779263,1.0,6.0,15.460558915017677,21.0,0.0,2.0
1980-01-01,0.027447268355944344,472.90988453013347,1.0,6.0,15.086162017256042,34.0,2.0,8.0
1981-01-01,974.5037139583433,384.8026655375515,1.0,66.0,20478.26529538299,42.0,0.0,11.0
1982-01-01,103.22018429912744,435.1257475750311,1.0,55.0,5157.17741380302,15.0,1.0,7.0
1983-01-01,6.844482975268128,470.855165405466,1.0,40.0,778.1198939043283,10.0,0.0,1.0
1984-01-01,7861.400312509485,418.64837126455967,0.99,1106.0,17892.887208253775,20.0,0.0,11.0
1985-01-01,176408.00413175637,304.90465863672046,1.0,6042.0,200116.0620009656,16.0,0.0,0.0
1986-01-01,46537.85892170195,349.8326238327824,0.9837837837837837,2113.0,189994.21837580806,30.0,0.0,2.0
1987-01-01,5570.873055250039,397.90414234428715,0.9961038961038962,2459.0,52107.55992889542,9.0,0.0,0.0
1988-01-01,6705.1890040102535,413.8863326742531,1.0,3953.0,26173.809856742115,41.0,0.0,13.0
1989-01-01,131630.7067571377,367.5596208577906,1.0,3893.0,442514.5025403779,,,
1990-01-01,27383.87092941891,329.7549364432046,1.0,3874.0,61456.57668112049,,,
1991-01-01,35452.784259657776,426.0219726423731,1.0,1721.0,379420.0047869003,,,
1992-01-01,33223.7756651786,345.17016381553213,0.965,3463.0,40765.24132323637,23.0,0.0,7.0
1993-01-01,24703.290195028298,349.37028743313834,0.9758620689655173,3369.0,43937.112553586296,,,
1994-01-01,27099.847623632453,393.48977588190047,0.9629213483146067,4209.0,79792.33366038362,,,
1995-01-01,49232.52090933105,332.4667248238588,0.9746478873239437,6207.0,36773.7920582168,42.0,0.0,5.0
1996-01-01,61765.80141427953,318.6129242405483,0.9484375,4521.0,42658.93059038972,28.0,0.0,3.0
1997-01-01,36083.390271435965,381.2669612972776,0.9721649484536082,3830.0,44513.787221379425,,,
1998-01-01,396766.9234088592,344.8700986139454,0.9802197802197803,10165.0,404124.4378044808,26.0,0.0,0.0
1999-01-01,97714.96859576103,382.34652394375803,0.9797752808988764,9895.0,90222.3202285328,37.0,0.0,2.0
2000-01-01,63098.98208605504,375.72284866252727,0.9522727272727273,11392.0,239305.9292412259,43.0,0.0,3.0
2001-01-01,189372.79444949073,400.3280335613277,0.9612244897959185,7052.0,240555.505981067,24.0,0.0,0.0
2002-01-01,32949.681209217764,381.98783427291187,0.9613861386138614,7553.0,66255.65608998499,20.0,0.0,0.0
2003-01-01,22794.221510421008,395.6599702469274,0.8862903225806451,4566.0,79096.14633082798,42.0,0.0,1.0
2004-01-01,67199.98427999952,351.3531680352337,0.8720588235294118,8319.0,138124.00272406047,58.0,0.0,1.0
2005-01-01,69938.81894423898,418.4717257776687,0.8872340425531915,7550.0,150351.08783737515,71.0,0.0,2.0
2006-01-01,121245.95865331106,336.9819175171747,0.8480263157894737,13875.0,228320.73315305405,76.0,0.0,0.0
2007-01-01,132643.40424408606,320.0384201017323,0.9296153846153846,19217.0,515358.356504148,58.0,0.0,10.0
2008-01-01,85867.9294595903,291.74587638605203,0.8927374301675979,14446.0,279463.47846681456,53.0,0.0,0.0
2009-01-01,87889.71115218924,269.48637757496505,0.8186046511627907,10367.0,196004.26421269675,31.0,0.0,0.0
2010-01-01,54288.341678925346,351.6150803203949,0.8838150289017341,12246.0,195628.47867181766,42.0,0.0,0.0
2011-01-01,148859.59917883942,331.2852396706407,0.9231884057971014,16356.0,442235.92536338064,64.0,0.0,0.0
2012-01-01,70588.17227685047,416.29297355625766,0.908695652173913,15722.0,138406.71391962297,24.0,0.0,0.0
2013-01-01,26006.54693775506,379.95808548173454,0.8558441558441557,3866.0,97201.47378189684,8.0,0.0,0.0
2014-01-01,78841.67318096918,355.79365975606987,0.8821428571428571,5777.0,189802.52889022935,23.0,0.0,0.0
2015-01-01,26164.53622129948,404.2655625753973,0.9237837837837838,6391.0,157044.21405096425,21.0,0.0,0.0
2016-01-01,14629.70150105677,312.39759361781745,0.9290322580645162,8404.0,136759.1719780735,19.0,0.0,0.0
2017-01-01,42722.325241489554,394.11488665408507,0.8925925925925926,4239.0,161700.8892592028,16.0,0.0,0.0
2018-01-01,15114.325596582543,411.77240683171465,0.9,7295.0,80212.2646218933,19.0,0.0,0.0
2019-01-01,22715.93820180084,338.59940532663194,0.9175,6621.0,50088.13272379302,28.0,0.0,0.0
2020-01-01,7966.658509311461,320.07044181438977,0.9625,4564.0,3416.115757047339,11.0,0.0,1.0
2021-01-01,,,,,,14.0,0.0,0.0
